SampleName,Group,CODE
"GTEX-12ZZW-0005-SM-5O9BY",Normal,LAML
"GTEX-13CZV-0006-SM-5P9IN",Normal,LAML
"GTEX-13O61-0005-SM-5O9AU",Normal,LAML
"GTEX-12WSM-0005-SM-5NQB3",Normal,LAML
"GTEX-Y8LW-0005-SM-4V6EV",Normal,LAML
"GTEX-12WSJ-0005-SM-5LU8S",Normal,LAML
"GTEX-14C38-0006-SM-5NQBF",Normal,LAML
"GTEX-12WSA-0005-SM-5O9BM",Normal,LAML
"GTEX-13OVJ-0006-SM-5O98T",Normal,LAML
"GTEX-NL3G-0007-SM-4SOIF",Normal,LAML
"GTEX-OIZH-0005-SM-2HMJN",Normal,LAML
"GTEX-WH7G-0005-SM-3NMBX",Normal,LAML
"GTEX-1269C-0005-SM-5N9CJ",Normal,LAML
"GTEX-ZVZQ-0006-SM-51MR8",Normal,LAML
"GTEX-14A6H-0006-SM-5NQ7W",Normal,LAML
"GTEX-12WSD-0005-SM-5N9FZ",Normal,LAML
"GTEX-ZGAY-0006-SM-4WWAQ",Normal,LAML
"GTEX-Q2AH-0005-SM-5SI7G",Normal,LAML
